date,variant,pack.size,brand,supermarket,ilr_1,ilr_2
2021-01-09,flavoured,0 - 350 GR,brand-35,supermarket-A,-0.13394281323581386,1.0466808574646178
2021-01-09,flavoured,0 - 350 GR,brand-35,supermarket-D,-0.016535694950944226,1.1650330068665298
2021-01-09,flavoured,0 - 350 GR,brand-35,supermarket-C,-0.38037853572682134,0.8664732037778168
2021-01-09,flavoured,0 - 350 GR,brand-14,supermarket-A,0.02518218207976392,1.587820084158308
2021-01-09,flavoured,0 - 350 GR,brand-14,supermarket-B,0.4195157778942753,1.4784876640766174
2021-01-09,flavoured,0 - 350 GR,brand-14,supermarket-D,0.4674567315258523,1.506171663733597
2021-01-09,flavoured,0 - 350 GR,brand-14,supermarket-C,0.4510762983227098,1.5004317012125237
2021-01-09,flavoured,0 - 350 GR,brand-3,supermarket-A,0.2485039763763117,1.2753784436693334
2021-01-09,flavoured,0 - 350 GR,brand-3,supermarket-D,0.4820640592979684,1.4102244204161032
2021-01-09,flavoured,0 - 350 GR,brand-28,supermarket-B,0.21220599238685936,1.254421792841982
2021-01-09,flavoured,0 - 350 GR,brand-24,supermarket-A,0.23894733595385298,1.2698609147488782
2021-01-09,flavoured,0 - 350 GR,brand-24,supermarket-D,0.4857506875830633,1.4123528962489047
2021-01-09,flavoured,0 - 350 GR,brand-16,supermarket-A,0.41664342663832005,1.5218989937801366
2021-01-09,flavoured,0 - 350 GR,brand-12,supermarket-D,0.5091478983987765,1.628729132571523
2021-01-09,flavoured,0 - 350 GR,brand-25,supermarket-D,0.5155255992676574,1.3370109654509001
2021-01-09,flavoured,0 - 350 GR,brand-9,supermarket-A,0.4342287736179396,1.5648026520560987
2021-01-09,flavoured,0 - 350 GR,brand-9,supermarket-B,-0.5646302068252339,0.9881111508147571
2021-01-09,flavoured,0 - 350 GR,brand-8,supermarket-D,0.05179589822111192,1.0548248535349245
2021-01-09,flavoured,0 - 350 GR,brand-26,supermarket-D,0.7277694363916224,1.8203049335259827
2021-01-09,flavoured,0 - 350 GR,brand-39,supermarket-C,0.6462109307267108,1.5049946608221223
2021-01-09,flavoured,0 - 350 GR,brand-17,supermarket-A,1.5290156711856987e-16,1.5489919812689816
2021-01-09,flavoured,0 - 350 GR,brand-23,supermarket-C,0.49046132452174745,1.4484036027059464
2021-01-09,flavoured,0 - 350 GR,brand-52,supermarket-D,0.5882623114964166,1.4715380099103443
2021-01-09,flavoured,0 - 350 GR,brand-29,supermarket-A,0.289041196747237,1.251206254505068
2021-01-09,flavoured,0 - 350 GR,brand-29,supermarket-B,0.29186937523777334,1.2528391041178955
2021-01-09,flavoured,0 - 350 GR,brand-29,supermarket-D,0.3359681195577799,1.2782995260219758
2021-01-09,flavoured,0 - 350 GR,brand-29,supermarket-C,0.4540944404280529,1.3464997891748078
2021-01-09,flavoured,0 - 350 GR,brand-31,supermarket-C,0.5412675019571243,1.548781054738604
2021-01-09,flavoured,0 - 350 GR,brand-33,supermarket-B,0.39769287381222124,1.1728107637851308
