series_id,mae,rmse,mape,n_train,n_test,mean_y_train,mean_y_test,mean_yhat
brand-35_supermarket-C_flavoured_0 - 350 GR,3908.915263941282,6561.496985800798,16.271399924942266,30,6,18483.563333333335,20252.061666666665,17080.900409246242
other_supermarket-C_flavoured_0 - 350 GR,5399.071437161957,6961.164101799313,19.486995582377823,30,6,26128.88416666666,29126.364166666663,32629.161564771854
brand-35_supermarket-B_flavoured_0 - 350 GR,2238.2639541552057,3012.429348946539,22.190355917519504,27,6,5448.002222222222,10334.815,12568.962027356984
other_supermarket-C_standard_0 - 350 GR,1660.4448851707302,2251.293481725525,22.477749776005783,30,6,4647.159333333333,6564.746666666667,6853.825506161484
other_supermarket-C_flavoured_351 - 500 GR,2781.1960987331136,3206.684297978841,22.74992929419255,30,6,7095.9839999999995,11716.210833333333,10707.97073999894
brand-35_supermarket-D_light_351 - 500 GR,27341.489245017165,40424.53247493376,23.963697677078454,30,6,99931.65833333334,116299.29999999999,102182.7664122295
brand-35_supermarket-A_standard_351 - 500 GR,55035.87038190442,64196.96073769704,26.018352225700355,30,6,124390.10666666667,198333.83333333334,180263.28597110065
brand-35_supermarket-B_vegan_0 - 350 GR,317.2970993942325,384.86472730225887,29.20496688460059,30,6,1242.7303333333334,1026.335,886.489229124399
other_supermarket-A_flavoured_351 - 500 GR,23085.67232968401,28330.807757491682,35.75532086386553,30,6,79574.70083333337,64047.42666666666,70082.08998795236
brand-35_supermarket-A_light_351 - 500 GR,19264.28406513203,30558.92714965188,37.09243498013342,30,6,69791.03,64791.416666666664,82609.49842166154
brand-35_supermarket-C_standard_351 - 500 GR,27560.792996411867,31416.722525109726,37.656500948810994,30,6,46831.200333333334,76719.195,75151.57990047168
brand-15_supermarket-C_light_351 - 500 GR,16806.74076276354,18732.977453684576,40.8221868104372,30,6,70894.32033333332,48106.01,59627.49155485787
brand-35_supermarket-A_vegan_0 - 350 GR,751.0447712389101,805.3347266807934,43.64114230695268,30,6,2760.8373333333334,1876.7933333333333,2291.9048687782956
brand-35_supermarket-D_standard_351 - 500 GR,139125.50490364188,156038.47929936307,44.06249150363455,30,6,203738.23166666666,317722.89166666666,271124.0737700536
other_supermarket-B_flavoured_351 - 500 GR,6093.416564857826,6857.058435862063,44.54672059807188,30,6,14264.780499999999,12974.378333333334,7675.8802138384535
other_supermarket-B_vegan_0 - 350 GR,553.6152071677997,680.6889893769206,44.5642020611203,30,6,1707.1086666666665,1154.5333333333335,1688.7268219687714
other_supermarket-B_flavoured_0 - 350 GR,8902.224235653934,10004.416957999889,44.7489346745916,30,6,18537.748999999996,21274.861666666668,25128.900700540155
brand-14_supermarket-A_standard_701 - 1000 GR,37112.63422734768,54110.526845926266,45.30066887961486,30,6,72565.44583333333,92869.8,119704.35508212591
brand-14_supermarket-D_standard_701 - 1000 GR,55539.09202222544,62246.57620716297,45.307292354148025,30,6,110464.5475,131916.75416666668,105924.63087036303
brand-35_supermarket-C_standard_701 - 1000 GR,18892.423337975157,21034.134388914295,45.807053008644154,30,6,25222.725,44234.0,38973.70882720121
brand-15_supermarket-C_standard_0 - 350 GR,5124.861629202136,6998.597697160221,46.525044883530434,30,6,16035.681666666667,11510.483333333332,13274.063920806162
brand-15_supermarket-D_vegan_0 - 350 GR,6699.986266979492,7651.190312428777,46.86876232128192,30,6,18320.093999999997,15520.859999999999,21858.623840183256
brand-15_supermarket-B_light_501 - 700 GR,8333.250141755276,9684.876931403192,46.87019916250371,30,6,13999.444666666668,18520.34,10308.534784496425
other_supermarket-D_flavoured_0 - 350 GR,27043.576281890728,30709.297022351442,46.886334692638876,30,6,61694.41166666667,59910.33083333333,75223.55399487577
other_supermarket-C_standard_351 - 500 GR,4741.394793705483,5613.883809510755,47.64968054668486,30,6,10019.408733333332,11082.3125,13409.527798355824
brand-35_supermarket-C_light_351 - 500 GR,37122.26964140779,47433.646536465196,47.744390617452645,30,6,76876.412,82920.18833333334,114965.88341343049
brand-14_supermarket-D_light_701 - 1000 GR,44338.96425157002,54806.633437552664,48.807704732026785,30,6,71371.988,80500.40250000001,40587.51061584829
brand-15_supermarket-B_standard_351 - 500 GR,19284.31503062371,27022.06480017855,48.968784331094604,30,6,36555.818333333336,44868.66,61052.72341484326
brand-15_supermarket-D_standard_351 - 500 GR,58277.756504641904,74478.2698383471,49.67806408904231,30,6,170371.776,105681.15333333332,157847.56556616098
brand-15_supermarket-B_standard_501 - 700 GR,23058.588170322357,27135.832638369753,50.92053550298028,30,6,32412.711333333333,44528.993333333325,21470.40516301098
brand-15_supermarket-C_standard_351 - 500 GR,32762.901550110255,37292.102254971316,52.09498778379656,30,6,111607.02533333332,78769.62333333334,105387.99704228278
brand-15_supermarket-D_standard_701 - 1000 GR,122372.11677548975,155129.02694871335,52.580659541959015,30,6,328518.3983333334,239086.44166666665,335808.62740601593
brand-35_supermarket-D_flavoured_0 - 350 GR,15399.6403471878,18027.78855546893,53.7137451532819,30,6,23399.565,29398.996666666662,44798.637013854466
brand-14_supermarket-A_standard_501 - 700 GR,23720.525645834674,32759.486601989647,54.570211883560184,28,6,48614.07875,48237.25916666666,57845.70526807375
brand-15_supermarket-C_vegan_0 - 350 GR,5693.745381107522,6522.600956753105,57.17472751823167,30,6,14701.149,11251.890000000001,16207.903926407429
brand-15_supermarket-D_light_501 - 700 GR,33621.77933977506,35910.35846455869,57.81347094953026,30,6,4436.203,57505.96166666667,23884.182326891605
brand-15_supermarket-A_light_0 - 350 GR,2867.2300487582966,3281.2180712038967,58.108024307319575,30,6,6643.266666666666,5917.75,7197.385124478677
brand-15_supermarket-D_flavoured_0 - 350 GR,3085.6442167244204,3859.2588068588325,59.18827739741197,28,6,1488.481785714286,5985.63,6980.693440958724
other_supermarket-A_standard_351 - 500 GR,14114.404191115813,15165.71537747526,59.28317233145876,30,6,15668.425166666666,24052.13666666667,9937.732475550854
brand-15_supermarket-C_vegan_351 - 500 GR,5195.6615934251395,8003.62487569807,61.44030845522178,24,6,7809.23,10082.580833333333,15278.242426758472
