iter	RMSE
0	4.135546802
1	4.029549119
2	3.925222695
3	3.829606123
4	3.733350497
5	3.637618214
6	3.545616153
7	3.456524163
8	3.372246974
9	3.288582356
10	3.207686766
11	3.129201635
12	3.05261519
13	2.977016824
14	2.905666816
15	2.837118502
16	2.76806812
17	2.704482772
18	2.642558941
19	2.582591017
20	2.525724883
21	2.465536932
22	2.41300586
23	2.360404645
24	2.307674954
25	2.257690444
26	2.207753308
27	2.161830866
28	2.115431477
29	2.071491525
30	2.02848881
31	1.988343633
32	1.948110408
33	1.911438545
34	1.873911909
35	1.840219101
36	1.804417946
37	1.772039773
38	1.739212617
39	1.708006927
40	1.679029129
41	1.650381614
42	1.62083263
43	1.592913751
44	1.567749308
45	1.541420524
46	1.514457674
47	1.489271486
48	1.465533206
49	1.441588712
50	1.41860954
51	1.396511695
52	1.375795929
53	1.356316483
54	1.337669289
55	1.320309269
56	1.303460676
57	1.286229028
58	1.269294958
59	1.252581345
60	1.238182489
61	1.223628825
62	1.208598818
63	1.197150631
64	1.183436863
65	1.171100809
66	1.158234214
67	1.146612551
68	1.134923677
69	1.124019059
70	1.113189832
71	1.102380698
72	1.092988439
73	1.083348386
74	1.072793732
75	1.063393257
76	1.053762572
77	1.045723714
78	1.038357903
79	1.030451235
80	1.023372973
81	1.017142607
82	1.008953043
83	1.001773057
84	0.9944135311
85	0.988466235
86	0.9826015598
87	0.9764088032
88	0.9702213877
89	0.9651390099
90	0.9597155924
91	0.9534564277
92	0.9483502176
93	0.9430764756
94	0.9383154356
95	0.9334004949
96	0.9295916844
97	0.9252693014
98	0.9211047162
99	0.9173079174
100	0.9124333109
101	0.9092594373
102	0.9057824671
103	0.9010141588
104	0.8972991422
105	0.8944787179
106	0.8901646364
107	0.8868029223
108	0.8832693975
109	0.8802462729
110	0.8768304361
111	0.8744865169
112	0.8720009516
113	0.8694345383
114	0.8656493142
115	0.8637637135
116	0.8607240677
117	0.857667974
118	0.8556125273
119	0.8531922434
120	0.8505714552
121	0.8487560855
122	0.8453380169
123	0.8427206075
124	0.8404335815
125	0.8380641914
