iter	MAE
0	1.042868197
1	0.9552858341
2	0.8790741464
3	0.8091828304
4	0.7473793963
5	0.6926255921
6	0.6463090609
7	0.6057293602
8	0.5684135073
9	0.5370452908
10	0.5096841287
11	0.4847722731
12	0.460867884
13	0.4407224119
14	0.4227934352
15	0.4087572006
16	0.3946126791
17	0.3842900211
18	0.3738902828
19	0.3641372496
20	0.3534758033
21	0.3450699935
22	0.3371458435
23	0.3306777655
24	0.3245707829
25	0.3195043095
26	0.3155006689
27	0.3121381698
28	0.3089726035
29	0.3060596838
30	0.3024523691
31	0.2996762096
32	0.2972343779
33	0.2950434604
34	0.2950050147
35	0.2929497704
36	0.2916845376
37	0.2882637063
38	0.2866500239
39	0.2846575496
40	0.2832714214
41	0.2799023935
42	0.2786873172
43	0.2768408098
44	0.2749661593
45	0.2734468454
46	0.2712585865
47	0.2701846246
48	0.2683708316
49	0.2673795969
50	0.2666613024
51	0.2655400567
52	0.2638629431
53	0.262076481
54	0.2605711455
55	0.2593080114
56	0.2582508767
57	0.2573048178
58	0.2560888232
59	0.2548481735
60	0.2543225713
61	0.2532267486
62	0.2525240363
63	0.2516483143
64	0.250729113
65	0.2490682048
66	0.2478907929
67	0.246101475
68	0.2451175191
69	0.2443570091
70	0.2438683768
71	0.24230206
72	0.2415397875
73	0.2410188093
74	0.2402297672
75	0.2397242634
76	0.2379718356
77	0.2370460997
78	0.2358847641
79	0.2351593193
80	0.2344688005
81	0.233703988
82	0.2329897185
83	0.2324186871
84	0.2319168316
85	0.2303249354
86	0.2292727936
87	0.2284274498
88	0.2278683582
89	0.2268296229
90	0.2256990826
91	0.2250361085
92	0.2239268954
93	0.2229186356
94	0.2222515135
95	0.2212118272
96	0.2206910869
97	0.2199250988
98	0.2191036189
99	0.2185659105
100	0.2175867603
101	0.2167384459
102	0.2162424878
103	0.2150682725
104	0.2146991514
105	0.2139800405
106	0.2129550647
107	0.2124144621
108	0.2119802139
109	0.2116566953
110	0.2112896226
111	0.2105414779
112	0.2091606734
113	0.2088156117
114	0.2082242839
115	0.2078474541
116	0.2073759946
117	0.2065250675
118	0.2055795564
119	0.2047384982
120	0.2045327214
121	0.2037190149
122	0.2033015729
123	0.2030738642
124	0.2027859234
125	0.2024426596
126	0.201702442
127	0.2010789288
128	0.1998611055
129	0.1996092412
130	0.1987898901
131	0.1982669461
132	0.1978182453
133	0.1975103389
134	0.1970821736
135	0.1964511959
136	0.1962853335
137	0.195132311
138	0.1945603151
139	0.1936997673
140	0.1933067125
141	0.192786053
142	0.1923522538
143	0.191780199
144	0.1914834645
145	0.1909550359
146	0.1906604525
147	0.1902754278
148	0.1897415857
149	0.1894610057
150	0.1890028337
151	0.1887185328
152	0.1883696097
153	0.1882834956
154	0.1877430257
155	0.1875326509
156	0.187402299
157	0.1871459791
158	0.1866581783
159	0.1864452592
160	0.1860483893
161	0.1859398871
162	0.1853996546
163	0.1842782235
164	0.1838529035
165	0.1830205094
166	0.1824773303
167	0.1820947888
168	0.1820265214
169	0.181844083
170	0.1815227361
171	0.1807415109
172	0.1803894759
173	0.1799998003
174	0.1793832447
175	0.1790889561
176	0.1789606143
177	0.1785677134
178	0.1783056997
179	0.1780845271
180	0.1774752703
181	0.1772070226
182	0.1769490222
183	0.1765213473
184	0.1764295576
185	0.1756974094
186	0.1752734884
187	0.1748322261
188	0.174157461
189	0.1740475043
190	0.1738110995
