iter	Passed	Remaining
0	1	747
1	3	787
2	4	725
3	6	763
4	7	735
5	9	786
6	11	779
7	12	764
8	13	742
9	15	763
10	18	812
11	20	822
12	21	817
13	23	826
14	25	821
15	26	808
16	28	798
17	29	801
18	35	903
19	39	937
20	41	939
21	44	957
22	45	951
23	47	942
24	50	960
25	54	992
26	56	985
27	58	992
28	60	988
29	62	980
30	65	986
31	67	986
32	69	980
33	70	964
34	70	938
35	72	934
36	73	921
37	74	911
38	75	898
39	77	888
40	79	887
41	81	885
42	83	892
43	87	902
44	88	897
45	90	889
46	91	880
47	92	869
48	93	860
49	94	850
50	95	841
51	96	833
52	97	826
53	99	820
54	100	815
55	101	807
56	103	800
57	104	794
58	105	788
59	106	781
60	107	774
61	108	768
62	109	761
63	111	758
64	112	752
65	113	747
66	115	744
67	116	739
68	117	734
69	118	728
70	119	722
71	120	717
72	121	712
73	122	706
74	123	701
75	124	696
76	126	693
77	127	688
78	128	685
79	129	680
80	130	677
81	132	673
82	133	669
83	134	664
84	135	660
85	136	657
86	137	653
87	138	650
88	140	646
89	141	642
90	142	638
91	143	638
92	145	635
93	146	632
94	147	629
95	148	626
96	150	625
97	152	624
98	153	620
99	154	617
100	155	614
101	156	611
102	157	608
103	158	604
104	160	604
105	161	601
106	163	598
107	164	596
108	165	593
109	166	590
110	167	587
111	168	584
112	169	581
113	171	581
114	172	578
115	174	578
116	175	575
117	177	573
118	178	570
119	179	567
120	180	565
121	181	563
122	182	560
123	184	558
124	185	556
125	186	553
126	188	554
127	190	552
128	191	550
129	192	548
130	193	546
131	195	543
132	197	546
133	199	543
134	200	541
135	201	539
136	202	536
137	203	534
138	204	532
139	206	529
140	207	528
141	208	526
142	209	524
143	211	521
144	212	519
145	213	517
146	215	516
147	216	514
148	217	512
149	218	510
150	219	508
151	220	505
152	221	503
153	222	500
154	224	498
155	225	496
156	226	494
157	227	493
158	228	490
159	230	488
160	232	489
161	233	487
162	234	484
163	235	482
164	237	482
165	238	479
166	239	477
167	240	475
168	241	473
169	242	470
170	243	468
171	244	467
172	246	466
173	247	464
174	249	462
175	250	460
176	251	458
177	252	456
178	253	454
179	254	452
180	255	450
181	256	448
182	257	446
183	258	444
184	259	442
185	260	440
186	262	438
187	263	437
188	264	435
189	265	433
190	266	431
