series_id,n_obs,MAE,RMSE,sMAPE,R2
brand-35_supermarket-B_vegan_0 - 350 GR,6.0,125.06282907768171,168.8100726331754,12.446630801339019,0.30866827741470093
other_supermarket-B_vegan_0 - 350 GR,6.0,132.0749013983466,144.93896763235213,11.486873551951225,0.4678199092696008
brand-35_supermarket-A_vegan_0 - 350 GR,6.0,319.5249438254986,446.2732478658576,16.646417207686497,-0.20738142518916058
brand-15_supermarket-D_standard_0 - 350 GR,6.0,376.3726649598777,447.23275198039926,18.82337210561782,-0.7735279329294233
brand-15_supermarket-A_vegan_0 - 350 GR,6.0,424.46479521937266,545.4869836085796,14.618131334310872,-0.3437283917368452
brand-14_supermarket-B_flavoured_0 - 350 GR,6.0,437.90535248114855,510.5036922327147,21.351940067813924,-0.420706063568711
brand-35_supermarket-C_standard_0 - 350 GR,6.0,531.1188187020476,712.9515740963882,18.483184632279492,-0.43278454085505413
brand-14_supermarket-A_light_0 - 350 GR,6.0,687.8925651107802,908.802235381447,22.11701981203159,0.3320722941097207
other_supermarket-C_standard_0 - 350 GR,6.0,716.427888781175,860.5028949155848,11.177533152322077,0.5426879758779051
brand-14_supermarket-A_standard_0 - 350 GR,6.0,721.4045728606874,1200.2851171081763,17.52698807907297,0.198794447533725
other_supermarket-C_vegan_0 - 350 GR,6.0,741.1018324927626,818.8114474688418,24.11493831257516,-2.284164160502467
brand-15_supermarket-B_vegan_0 - 350 GR,6.0,844.9364415258316,1050.1875661595816,34.04592437055485,0.2602613798042275
other_supermarket-D_standard_0 - 350 GR,6.0,865.2323075928372,1139.0566963370761,21.94128996135177,-0.164289386658641
brand-15_supermarket-B_flavoured_0 - 350 GR,6.0,1103.4663112557366,1352.9359450151017,22.774361427203416,-0.34749562385005484
brand-35_supermarket-B_flavoured_0 - 350 GR,6.0,1136.7077963392146,1304.8995149830275,10.916076831838716,-0.27709381977500813
brand-15_supermarket-C_flavoured_0 - 350 GR,6.0,1204.8427744997487,1358.210397773832,17.200665042935217,-0.1906405787687273
brand-15_supermarket-A_vegan_351 - 500 GR,6.0,1267.337697178455,1371.2227093186298,20.591179255913097,-1.3813501633750644
brand-15_supermarket-C_vegan_351 - 500 GR,6.0,1513.3113317911896,1930.2308908735922,14.981021109563954,-0.04571284106587692
brand-35_supermarket-D_vegan_0 - 350 GR,6.0,1521.3138240013557,1830.4464010608274,41.520122905912665,0.1254137951053138
brand-15_supermarket-D_flavoured_0 - 350 GR,6.0,1525.8677437547406,1971.0260248728523,25.430315382961204,0.057726579199484096
other_supermarket-C_flavoured_351 - 500 GR,6.0,1578.3903315833697,1735.4786417076746,13.581654567291492,-0.21808856013589084
brand-15_supermarket-C_vegan_0 - 350 GR,6.0,1694.5565525873462,1851.9849780232832,15.248564831107853,0.5574055926212129
brand-15_supermarket-C_standard_0 - 350 GR,6.0,1788.0283991158146,2063.8256622583585,15.614678348122654,0.21094454911960558
brand-15_supermarket-A_light_0 - 350 GR,6.0,1929.4851460340742,2085.4436472759658,30.574681841205404,-0.5079766344686176
other_supermarket-C_standard_351 - 500 GR,6.0,1933.367221503777,2362.009703066713,18.301388526080657,0.3413275376413887
brand-14_supermarket-A_flavoured_0 - 350 GR,6.0,1996.53171931356,2215.9718017321634,44.824776900641375,-0.4757846534432777
brand-15_supermarket-A_standard_0 - 350 GR,6.0,2137.1874090978104,2346.6469112652976,20.795228265121004,-0.5968862627972165
brand-15_supermarket-A_flavoured_0 - 350 GR,6.0,2412.3835213884395,3069.862349132124,25.633920389813103,0.37438082118263116
other_supermarket-B_flavoured_0 - 350 GR,6.0,2754.1795719312663,3337.2386932940735,12.729943824502346,0.5357154074823567
brand-15_supermarket-D_vegan_0 - 350 GR,6.0,3177.972032252437,3548.865411772009,20.234816154446385,0.11518267430293883
other_supermarket-B_flavoured_351 - 500 GR,6.0,3411.9048671893593,3728.874787543349,26.082630972068426,-3.291115468810373
brand-14_supermarket-D_flavoured_0 - 350 GR,3.0,3438.1912079140216,4094.95227259888,95.13407930170091,-1.3260752923466539
brand-35_supermarket-C_flavoured_0 - 350 GR,6.0,3492.3480525612335,4780.24755800321,16.796707907809495,-0.501496413552792
brand-35_supermarket-A_flavoured_0 - 350 GR,6.0,3643.919186298692,4618.881857449096,50.43900264945896,-1.2587184462817498
brand-15_supermarket-B_light_351 - 500 GR,6.0,3875.1037764595453,4632.7345081159065,21.59404783133345,-1.1018393777621482
brand-15_supermarket-D_vegan_351 - 500 GR,6.0,3960.505086662824,4624.873848709476,26.85526306666317,0.028272721527000777
other_supermarket-D_standard_351 - 500 GR,6.0,4273.780640609256,4974.217451072657,17.014049258384777,0.33673473853078606
other_supermarket-B_standard_351 - 500 GR,6.0,4342.0608361935065,5164.5530940003255,55.425690922126606,0.33613753878623054
brand-15_supermarket-B_light_701 - 1000 GR,6.0,4836.633548880712,5719.236126082309,29.746256030011192,-1.9563862156494927
brand-14_supermarket-B_light_701 - 1000 GR,6.0,4844.150476099913,5798.371377071162,23.246292688457068,0.27391606113482014
other_supermarket-A_standard_351 - 500 GR,6.0,4868.803972467583,5354.667186143855,19.765391078158633,0.2191305881705896
other_supermarket-C_flavoured_0 - 350 GR,6.0,5163.923781429876,5854.0903574375225,17.810028205915245,0.038668654062561925
